county_name,year,yield_lbs_acre,tmax_mean_grow,tmin_mean_grow,frost_days_bloom,precip_total_grow,precip_rolling_30,precip_rolling_60,precip_rolling_90,temp_variance_grow,gdd_total_grow,precip_deviation,yield_lag1,year_numeric,log_yield
Polk County,1990,45993.42830602246,81.36250000000001,65.69375,0,1.775,,,,3.2386661348977204,94.1125,0.07214285714285729,,1990,10.736275544353035
Polk County,1991,44282.29492706939,84.19375,64.66874999999999,0,2.0,,,,1.2002386915387555,97.72499999999998,0.2971428571428574,45993.42830602246,1991,10.698362795234628
Polk County,1992,45413.02413502492,83.04374999999999,63.9625,0,1.225,,,,2.641998533307697,94.0125,-0.47785714285714254,44282.29492706939,1992,10.723576237981678
Polk County,1993,46722.53030105135,81.24375,58.824999999999996,0,1.8250000000000002,,,,3.360144776146805,80.13750000000002,0.12214285714285755,45413.02413502492,1993,10.752003177597958
Polk County,1994,42766.98736820038,82.70625,63.837500000000006,0,1.8499999999999999,,,,4.1384565862971945,93.08749999999998,0.14714285714285724,46722.53030105135,1994,10.663545143022324
Polk County,1995,42325.84373316047,81.49375,65.57499999999999,0,1.775,,,,1.6185609606478608,94.13750000000002,0.07214285714285729,42766.98736820038,1995,10.653176767379456
Polk County,1996,45511.36680748537,80.23124999999999,66.63125000000001,0,1.5499999999999998,,,,2.251423161025045,93.725,-0.1528571428571428,42325.84373316047,1996,10.725739365975377
Polk County,1997,43446.634164188166,82.675,66.51249999999999,0,1.775,,,,3.333041653905131,98.37499999999999,0.07214285714285729,45511.36680748537,1997,10.679311679595182
Polk County,1998,40531.63946342422,84.4125,63.66875,0,1.45,,,,1.6518297934916468,96.1625,-0.25285714285714267,43446.634164188166,1998,10.609862841198524
Polk County,1999,42114.53185187781,84.68125,61.61875,0,2.025,,,,3.555358338714489,92.60000000000001,0.3221428571428573,40531.63946342422,1999,10.648171879231468
Polk County,2000,39661.39990849273,85.2625,66.175,0,1.675,,,,4.470155664701917,102.875,-0.02785714285714258,42114.53185187781,2000,10.588158912307875
Polk County,2001,39215.5993163889,84.63125000000001,66.4875,0,1.475,,,,4.073459575921511,102.23749999999998,-0.22785714285714254,39661.39990849273,2001,10.576855388096776
Polk County,2002,40189.80689607324,80.81875,63.0625,0,0.875,,,,5.1193413883037735,87.76249999999999,-0.8278571428571426,39215.5993163889,2002,10.601393564277616
Polk County,2003,35438.14539303735,78.58125,68.3375,0,1.9250000000000003,,,,0.9819994484044582,93.83749999999999,0.22214285714285764,40189.80689607324,2003,10.475572290236316
Polk County,2004,35373.69374673864,81.86875,64.1,0,1.6,,,,3.546675379845185,91.93749999999999,-0.10285714285714254,35438.14539303735,2004,10.473751977572054
Polk County,2005,37257.77788269452,82.3125,67.15,0,1.4500000000000002,,,,2.488682717155131,98.925,-0.25285714285714245,35373.69374673864,2005,10.52564284390468
Polk County,2006,35915.51422991939,79.0375,61.881249999999994,0,1.475,,,,1.564515366921443,81.83749999999999,-0.22785714285714254,37257.77788269452,2006,10.488952475110299
Polk County,2007,38128.49466519055,78.275,68.36250000000001,0,1.6249999999999998,,,,2.139996105915461,93.27499999999999,-0.07785714285714285,35915.51422991939,2007,10.548743399818353
Polk County,2008,35242.77537836934,82.14375,63.21875,0,1.4749999999999999,,,,3.102779332039797,90.72500000000001,-0.22785714285714276,38128.49466519055,2008,10.470044207636647
Polk County,2009,33793.03965615295,81.45,63.625,0,1.475,,,,3.8947614389929797,90.14999999999999,-0.22785714285714254,35242.77537836934,2009,10.428039724387178
Polk County,2010,39107.7681260784,84.19375,63.725,0,1.25,,,,2.9884761306280025,95.8375,-0.4528571428571426,33793.03965615295,2010,10.574101969582273
Polk County,2011,35283.74151667399,84.6875,63.55624999999999,0,1.5999999999999999,,,,3.9282364575807653,96.48749999999998,-0.10285714285714276,39107.7681260784,2011,10.471205897821418
Polk County,2012,35429.17405643468,80.60624999999999,65.35624999999999,0,1.95,,,,4.764949064085923,91.92499999999998,0.24714285714285733,35283.74151667399,2012,10.475319110532595
Polk County,2013,32003.444804043676,80.20625,66.32499999999999,0,2.175,,,,4.508204326558412,93.06249999999999,0.4721428571428572,35429.17405643468,2013,10.373630072262499
Polk County,2014,33322.99925683199,79.4375,67.55625,0,2.2249999999999996,,,,5.552795842336241,93.98750000000001,0.522142857142857,32003.444804043676,2014,10.414033114793515
Polk County,2015,34192.43341471385,83.25625,67.82499999999999,0,2.0250000000000004,,,,2.7913836921259425,102.1625,0.32214285714285773,33322.99925683199,2015,10.439788899197573
Polk County,2016,31227.424609861275,78.54374999999999,63.10625,0,1.35,,,,3.6340619491142454,83.29999999999998,-0.35285714285714254,34192.43341471385,2016,10.349084004235653
Polk County,2017,33839.631330809,83.575,65.10624999999999,0,1.925,,,,3.999531222530959,97.36250000000003,0.22214285714285742,31227.424609861275,2017,10.429417469893917
Polk County,2018,31445.7814436918,80.25625,64.725,0,2.0749999999999997,,,,2.547087797858566,89.96249999999999,0.3721428571428571,33839.631330809,2018,10.356051918058283
Polk County,2019,31622.49485335462,82.6875,63.893750000000004,0,1.875,,,,4.219720567367783,93.16250000000001,0.17214285714285738,31445.7814436918,2019,10.361655631327396
Polk County,2020,30561.292657894148,81.70625000000001,64.39375000000001,0,1.5,,,,4.90944561534192,92.2,-0.20285714285714262,31622.49485335462,2020,10.327522261994433
Polk County,2021,35028.08578078258,83.15625,64.33125,0,1.5999999999999999,,,,1.8164038418442803,94.97500000000001,-0.10285714285714276,30561.292657894148,2021,10.463934017671768
Polk County,2022,30855.3584917006,79.36875,64.15625,0,2.025,,,,1.7199049150074162,87.04999999999998,0.3221428571428573,35028.08578078258,2022,10.33709811803747
Polk County,2023,28325.754612676435,82.85,62.28125,0,1.625,,,,2.9873343747673573,90.2625,-0.07785714285714262,30855.3584917006,2023,10.251562029703209
Polk County,2024,31645.089824206378,82.3,65.575,0,2.1,,,,2.8743839919769485,95.75000000000001,0.39714285714285746,28325.754612676435,2024,10.36236987568122
